epoch,generator,accuracy,auc,samples
14,imagenet_ai_0424_wukong,0.909,0.9754879999999999,1000
14,imagenet_ai_0508_adm,0.96,0.990576,1000
14,imagenet_glide,0.973,0.996256,1000
14,imagenet_midjourney,0.939,0.985734,1000
15,imagenet_ai_0419_biggan,0.973,0.997312,1000
15,imagenet_ai_0419_vqdm,0.946,0.9856600000000001,1000
15,imagenet_ai_0424_sdv5,0.958,0.9910079999999999,1000
15,imagenet_ai_0424_wukong,0.91,0.9760440000000001,1000
15,imagenet_ai_0508_adm,0.96,0.9908,1000
15,imagenet_glide,0.974,0.9965020000000001,1000
15,imagenet_midjourney,0.934,0.985642,1000
16,imagenet_ai_0419_biggan,0.973,0.9972660000000002,1000
16,imagenet_ai_0419_vqdm,0.946,0.9861699999999999,1000
16,imagenet_ai_0424_sdv5,0.957,0.9912380000000001,1000
16,imagenet_ai_0424_wukong,0.914,0.97645,1000
16,imagenet_ai_0508_adm,0.959,0.991144,1000
16,imagenet_glide,0.973,0.996538,1000
16,imagenet_midjourney,0.938,0.985896,1000
17,imagenet_ai_0419_biggan,0.975,0.997192,1000
17,imagenet_ai_0419_vqdm,0.936,0.985514,1000
17,imagenet_ai_0424_sdv5,0.959,0.991614,1000
17,imagenet_ai_0424_wukong,0.913,0.976702,1000
17,imagenet_ai_0508_adm,0.96,0.990684,1000
17,imagenet_glide,0.975,0.996522,1000
17,imagenet_midjourney,0.93,0.986336,1000
18,imagenet_ai_0419_biggan,0.974,0.997488,1000
18,imagenet_ai_0419_vqdm,0.943,0.9863080000000001,1000
18,imagenet_ai_0424_sdv5,0.959,0.990918,1000
18,imagenet_ai_0424_wukong,0.915,0.976658,1000
18,imagenet_ai_0508_adm,0.964,0.9914160000000001,1000
18,imagenet_glide,0.973,0.9966019999999999,1000
18,imagenet_midjourney,0.936,0.9865439999999999,1000
19,imagenet_ai_0419_biggan,0.972,0.997678,1000
19,imagenet_ai_0419_vqdm,0.945,0.9865319999999999,1000
19,imagenet_ai_0424_sdv5,0.959,0.991344,1000
19,imagenet_ai_0424_wukong,0.916,0.977548,1000
19,imagenet_ai_0508_adm,0.96,0.991202,1000
19,imagenet_glide,0.974,0.996832,1000
19,imagenet_midjourney,0.939,0.9869220000000001,1000
20,imagenet_ai_0419_biggan,0.976,0.997478,1000
20,imagenet_ai_0419_vqdm,0.943,0.9863240000000001,1000
20,imagenet_ai_0424_sdv5,0.958,0.991494,1000
20,imagenet_ai_0424_wukong,0.913,0.9774219999999999,1000
20,imagenet_ai_0508_adm,0.965,0.9911559999999999,1000
20,imagenet_glide,0.974,0.9966,1000
20,imagenet_midjourney,0.94,0.9869740000000001,1000
