epoch,train_loss,train_acc,val_acc,val_auc
1,0.6246501738374883,0.81625,0.8988571428571429,0.9660596734693877
2,0.40133056965741243,0.8933214285714286,0.9095714285714286,0.9712292653061223
3,0.24444568861614574,0.9150714285714285,0.9232857142857143,0.9772943265306123
4,0.1841867216608741,0.9326785714285715,0.9344285714285714,0.9814432244897958
5,0.15874527584422718,0.9408928571428572,0.9382857142857143,0.9839612653061224
6,0.1440844797275283,0.9450714285714286,0.9414285714285714,0.9855463265306121
7,0.13590533137321473,0.9480714285714286,0.9447142857142857,0.9863887346938776
8,0.12986784360625528,0.9504285714285714,0.9465714285714286,0.9870711428571428
9,0.12517439140514894,0.9523928571428572,0.9471428571428572,0.9875595102040815
10,0.12089274485002864,0.9526071428571429,0.947,0.9879857959183674
11,0.11839923601258885,0.9541785714285714,0.9477142857142857,0.988230163265306
12,0.11579148268157785,0.9551785714285714,0.9487142857142857,0.9886464897959183
13,0.11333633187142285,0.95575,0.9498571428571428,0.9888079183673469
14,0.11120237694545225,0.957,0.9508571428571428,0.9888757551020408
15,0.10957122323187915,0.95775,0.9507142857142857,0.9891311836734694
16,0.10781632756645029,0.9583928571428572,0.9514285714285714,0.9893576326530613
17,0.10651330189271406,0.9592857142857143,0.9497142857142857,0.9893537551020409
18,0.10602216652848503,0.95975,0.952,0.9895474693877551
19,0.10363994863900271,0.9605357142857143,0.9521428571428572,0.9897965306122449
20,0.10267903621901166,0.9605357142857143,0.9527142857142857,0.9897725714285714
