epoch,generator,accuracy,auc,samples
14,imagenet_ai_0508_adm,0.911,0.9743440000000001,1000
14,imagenet_glide,0.949,0.9909300000000001,1000
14,imagenet_midjourney,0.904,0.9700599999999999,1000
15,imagenet_ai_0419_biggan,0.936,0.9969220000000001,1000
15,imagenet_ai_0419_vqdm,0.847,0.92339,1000
15,imagenet_ai_0424_sdv5,0.916,0.971498,1000
15,imagenet_ai_0424_wukong,0.887,0.954688,1000
15,imagenet_ai_0508_adm,0.911,0.974982,1000
15,imagenet_glide,0.947,0.9907459999999999,1000
15,imagenet_midjourney,0.902,0.970156,1000
16,imagenet_ai_0419_biggan,0.944,0.9971979999999999,1000
16,imagenet_ai_0419_vqdm,0.843,0.9261699999999998,1000
16,imagenet_ai_0424_sdv5,0.916,0.972214,1000
16,imagenet_ai_0424_wukong,0.89,0.95543,1000
16,imagenet_ai_0508_adm,0.915,0.975966,1000
16,imagenet_glide,0.955,0.9912360000000001,1000
16,imagenet_midjourney,0.906,0.9707859999999999,1000
17,imagenet_ai_0419_biggan,0.944,0.9969899999999999,1000
17,imagenet_ai_0419_vqdm,0.842,0.9267420000000001,1000
17,imagenet_ai_0424_sdv5,0.918,0.9730979999999999,1000
17,imagenet_ai_0424_wukong,0.889,0.9565480000000001,1000
17,imagenet_ai_0508_adm,0.915,0.976492,1000
17,imagenet_glide,0.955,0.9911019999999999,1000
17,imagenet_midjourney,0.906,0.971482,1000
18,imagenet_ai_0419_biggan,0.933,0.9974999999999999,1000
18,imagenet_ai_0419_vqdm,0.856,0.92959,1000
18,imagenet_ai_0424_sdv5,0.916,0.9733839999999999,1000
18,imagenet_ai_0424_wukong,0.888,0.955896,1000
18,imagenet_ai_0508_adm,0.914,0.9777720000000001,1000
18,imagenet_glide,0.95,0.991192,1000
18,imagenet_midjourney,0.902,0.971218,1000
19,imagenet_ai_0419_biggan,0.948,0.99729,1000
19,imagenet_ai_0419_vqdm,0.85,0.929724,1000
19,imagenet_ai_0424_sdv5,0.925,0.9746980000000001,1000
19,imagenet_ai_0424_wukong,0.888,0.957856,1000
19,imagenet_ai_0508_adm,0.919,0.978048,1000
19,imagenet_glide,0.954,0.990938,1000
19,imagenet_midjourney,0.907,0.97146,1000
20,imagenet_ai_0419_biggan,0.943,0.997488,1000
20,imagenet_ai_0419_vqdm,0.853,0.9314679999999999,1000
20,imagenet_ai_0424_sdv5,0.917,0.974986,1000
20,imagenet_ai_0424_wukong,0.89,0.958366,1000
20,imagenet_ai_0508_adm,0.92,0.978728,1000
20,imagenet_glide,0.952,0.991238,1000
20,imagenet_midjourney,0.908,0.9723100000000001,1000
