epoch,train_loss,train_acc,val_acc,val_auc
1,0.6448416200551119,0.7548928571428571,0.8208571428571428,0.9049714285714286
2,0.48111003854058004,0.8298928571428571,0.8374285714285714,0.9193967346938776
3,0.35398191484537994,0.8545714285714285,0.8601428571428571,0.9372565306122449
4,0.2950924038887024,0.8771785714285715,0.8742857142857143,0.9491175510204082
5,0.26436747068708594,0.8901428571428571,0.8855714285714286,0.9551373877551022
6,0.247307166186246,0.8984285714285715,0.893,0.958696081632653
7,0.23544959480112249,0.9031071428571429,0.8955714285714286,0.9610015510204082
8,0.2290320027958263,0.9070714285714285,0.8998571428571429,0.9627288571428572
9,0.22384183569387955,0.9088214285714286,0.8991428571428571,0.963852693877551
10,0.21899767951531843,0.9110714285714285,0.9031428571428571,0.964963469387755
11,0.21502965092658996,0.9119285714285714,0.9041428571428571,0.9657187755102041
12,0.21039935079487887,0.9143571428571429,0.9038571428571428,0.9666792244897959
13,0.2077309245413,0.9157142857142857,0.9067142857142857,0.9672548979591837
14,0.2048393872651187,0.9170357142857143,0.9064285714285715,0.968112
15,0.2020536940206181,0.9182857142857143,0.9065714285714286,0.9685016326530612
16,0.19875405701723967,0.9188928571428572,0.9098571428571428,0.9694635918367347
17,0.19547853144732388,0.9213928571428571,0.9098571428571428,0.9699715510204082
18,0.1918463885784149,0.9226785714285715,0.9084285714285715,0.9705998367346939
19,0.1893408631736582,0.92375,0.913,0.9711023265306122
20,0.1871682879599658,0.9263571428571429,0.9118571428571428,0.9718208163265307
